DATAFLOW,LAST UPDATE,freq,direct,tra_cov,unit,rep_mar,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_9,2021-Q3,49,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_9,2021-Q4,14,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_9,2022-Q1,1,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_9,2022-Q2,25,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_9,2022-Q3,46,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_9,2022-Q4,10,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_9,2023-Q1,1,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DK,2017-Q1,4831,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DK,2017-Q2,8315,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DK,2017-Q3,11359,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DK,2017-Q4,6027,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DK,2018-Q1,5181,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DK,2018-Q2,8168,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DK,2018-Q3,11324,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DK,2018-Q4,6208,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DK,2019-Q1,5004,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DK,2019-Q2,8565,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DK,2019-Q3,11304,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DK,2019-Q4,6232,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DK,2020-Q1,4173,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DK,2020-Q2,3208,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DK,2020-Q3,8372,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DK,2020-Q4,3356,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DK,2021-Q1,2282,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DK,2021-Q2,4270,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DK,2021-Q3,9040,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DK,2021-Q4,5264,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DK,2022-Q1,4076,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DK,2022-Q2,7753,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DK,2022-Q3,10915,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DK,2022-Q4,5539,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DK_0DKAAR,2017-Q1,510,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DK_0DKAAR,2017-Q2,747,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DK_0DKAAR,2017-Q3,879,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DK_0DKAAR,2017-Q4,734,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DK_0DKAAR,2018-Q1,573,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DK_0DKAAR,2018-Q2,804,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DK_0DKAAR,2018-Q3,953,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DK_0DKAAR,2018-Q4,814,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DK_0DKAAR,2019-Q1,601,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DK_0DKAAR,2019-Q2,949,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DK_0DKAAR,2019-Q3,975,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DK_0DKAAR,2019-Q4,860,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DK_0DKAAR,2020-Q1,513,
